condition,participant_id,face_emotion,face_valence,word,word_valence,word_Valence_Mean,word_Arousal_Mean,word_subTF,word_Familiarity,word_NOM,jitter,iti,facepath
负性一致,man_sub14,disgust,negative,悲  哀,negative,-1.92,2.0,278,6.0,1,0.39,0.95,Session_01/Emotional_faces_gray/man_sub14/disgust.jpg
负性一致,woman_sub51,disgust,negative,欺  骗,negative,-2.0,2.96,726,5.681818182,1,0.37,1.11,Session_01/Emotional_faces_gray/woman_sub51/disgust.jpg
负性一致,woman_sub36,fear,negative,慌  张,negative,-1.52,2.84,80,6.454545455,1,0.41,1.16,Session_01/Emotional_faces_gray/woman_sub36/fear.jpg
负脸正词,woman_sub36,disgust,negative,顺  利,positive,1.95,2.39,1454,6.181818182,1,0.4,0.97,Session_01/Emotional_faces_gray/woman_sub36/disgust.jpg
负脸正词,man_sub19,anger,negative,称  赞,positive,2.19,2.96,148,5.636363636,1,0.43,1.17,Session_01/Emotional_faces_gray/man_sub19/anger.jpg
负性一致,woman_sub37,sadness,negative,胆  怯,negative,-1.38,2.16,65,5.863636364,1,0.44,0.95,Session_01/Emotional_faces_gray/woman_sub37/sadness.jpg
正性一致,man_sub53,happiness,positive,礼  貌,positive,2.0,2.38,723,6.090909091,1,0.41,1.13,Session_01/Emotional_faces_gray/man_sub53/happiness.jpg
负性一致,man_sub21,anger,negative,崩  溃,negative,-2.04,2.62,690,6.590909091,1,0.44,0.95,Session_01/Emotional_faces_gray/man_sub21/anger.jpg
正性一致,woman_sub33,happiness,positive,积  极,positive,2.26,3.04,426,6.136363636,2,0.4,0.87,Session_01/Emotional_faces_gray/woman_sub33/happiness.jpg
正脸负词,man_sub40,happiness,positive,说  谎,negative,-1.8,2.38,1206,6.545454545,1,0.3,0.95,Session_01/Emotional_faces_gray/man_sub40/happiness.jpg
负性一致,woman_sub51,anger,negative,怒  火,negative,-1.9,2.94,166,5.5,1,0.32,0.83,Session_01/Emotional_faces_gray/woman_sub51/anger.jpg
正性一致,woman_sub44,happiness,positive,杰  出,positive,2.38,3.04,256,5.904761905,1,0.33,1.11,Session_01/Emotional_faces_gray/woman_sub44/happiness.jpg
负性一致,woman_sub9,fear,negative,怒  火,negative,-1.9,2.94,166,5.5,1,0.45,0.99,Session_01/Emotional_faces_gray/woman_sub9/fear.jpg
负性一致,woman_sub2,sadness,negative,惊  慌,negative,-1.52,2.87,195,5.136363636,1,0.37,1.13,Session_01/Emotional_faces_gray/woman_sub2/sadness.jpg
负脸正词,man_sub29,fear,negative,感  动,positive,1.92,2.96,482,6.181818182,2,0.34,0.88,Session_01/Emotional_faces_gray/man_sub29/fear.jpg
负脸正词,woman_sub10,sadness,negative,美  德,positive,2.22,2.26,71,5.545454545,1,0.37,0.87,Session_01/Emotional_faces_gray/woman_sub10/sadness.jpg
正脸负词,man_sub54,happiness,positive,狭  隘,negative,-1.96,2.21,42,4.909090909,2,0.44,0.81,Session_01/Emotional_faces_gray/man_sub54/happiness.jpg
正脸负词,man_sub8,happiness,positive,可  恶,negative,-1.84,3.0,443,5.095238095,1,0.38,0.88,Session_01/Emotional_faces_gray/man_sub8/happiness.jpg
正性一致,woman_sub10,happiness,positive,进  步,positive,2.27,2.71,522,5.952380952,2,0.37,1.1,Session_01/Emotional_faces_gray/woman_sub10/happiness.jpg
负脸正词,woman_sub2,anger,negative,勤  劳,positive,2.26,2.25,44,5.904761905,1,0.42,1.13,Session_01/Emotional_faces_gray/woman_sub2/anger.jpg
正性一致,woman_sub50,happiness,positive,刻  苦,positive,1.92,2.5,60,6.136363636,2,0.35,0.91,Session_01/Emotional_faces_gray/woman_sub50/happiness.jpg
