trial,condition,isi_dur,participant_id,face_emotion,face_valence,word,word_valence,word_Valence_Mean,word_Arousal_Mean,word_subTF,word_Familiarity,word_NOM
1,正脸负词,2.2,woman_sub46,happiness,positive,仇恨,negative,-2.33,2.35,253,5.363636364,1
2,正性一致,1.0,woman_sub4,happiness,positive,称赞,positive,2.19,2.96,148,5.636363636,1
3,正脸负词,2.5,woman_sub44,happiness,positive,焦急,negative,-1.52,2.86,51,5.714285714,1
4,负性一致,2.5,woman_sub30,anger,negative,绝望,negative,-2.31,3.32,633,6.0,1
5,负脸正词,1.6,woman_sub38,disgust,negative,刻苦,positive,1.92,2.5,60,6.136363636,2
6,负性一致,1.6,woman_sub23,anger,negative,慌张,negative,-1.52,2.84,80,6.454545455,1
7,正性一致,1.0,woman_sub29,happiness,positive,勤劳,positive,2.26,2.25,44,5.904761905,1
8,负脸正词,2.2,woman_sub35,disgust,negative,出色,positive,2.16,3.04,1277,5.65,1
9,负性一致,2.2,man_sub23,fear,negative,狠心,negative,-1.74,2.46,35,5.571428571,2
10,正性一致,2.5,man_sub38,happiness,positive,赞美,positive,2.08,3.11,294,5.363636364,1
11,负脸正词,2.2,man_sub37,fear,negative,礼貌,positive,2.0,2.38,723,6.090909091,1
12,负脸正词,2.2,man_sub56,sadness,negative,满意,positive,2.11,2.96,1063,6.428571429,1
13,正性一致,1.6,man_sub41,happiness,positive,欢笑,positive,2.17,2.79,161,5.0,1
14,正性一致,1.9,man_sub26,happiness,positive,刻苦,positive,1.92,2.5,60,6.136363636,2
15,正性一致,1.3,man_sub12,happiness,positive,诚实,positive,2.31,2.35,724,5.904761905,1
16,正脸负词,1.0,man_sub51,happiness,positive,崩溃,negative,-2.04,2.62,690,6.590909091,1
17,负性一致,1.3,man_sub20,fear,negative,崩溃,negative,-2.04,2.62,690,6.590909091,1
18,正脸负词,2.2,woman_sub40,happiness,positive,糟糕,negative,-1.75,2.61,2805,5.523809524,1
19,负性一致,2.5,man_sub54,sadness,negative,怒火,negative,-1.9,2.94,166,5.5,1
20,正脸负词,1.0,woman_sub17,happiness,positive,急躁,negative,-1.46,3.04,54,6.545454545,2
21,负性一致,1.6,woman_sub51,sadness,negative,悲观,negative,-1.81,2.64,100,6.136363636,1
22,正脸负词,1.9,woman_sub28,happiness,positive,悲观,negative,-1.81,2.64,100,6.136363636,1
23,正性一致,2.5,woman_sub7,happiness,positive,纯洁,positive,2.08,2.22,231,5.666666667,2
24,负脸正词,1.3,woman_sub41,sadness,negative,可靠,positive,2.08,2.22,524,6.181818182,2
25,正性一致,2.5,woman_sub45,happiness,positive,可靠,positive,2.08,2.22,524,6.181818182,2
26,负脸正词,1.3,woman_sub31,anger,negative,美德,positive,2.22,2.26,71,5.545454545,1
27,正脸负词,1.3,woman_sub43,happiness,positive,狡猾,negative,-1.62,2.33,334,6.0,1
28,负性一致,1.9,man_sub34,anger,negative,可怕,negative,-1.74,3.29,2003,6.909090909,1
29,负性一致,1.0,man_sub25,fear,negative,卑鄙,negative,-2.3,2.47,458,5.857142857,2
30,正性一致,1.9,man_sub15,happiness,positive,荣誉,positive,2.31,2.95,487,6.318181818,1
31,负脸正词,2.5,man_sub55,disgust,negative,勤劳,positive,2.26,2.25,44,5.904761905,1
32,负性一致,1.6,woman_sub11,fear,negative,讽刺,negative,-1.69,2.95,589,5.409090909,1
33,负性一致,1.3,woman_sub15,anger,negative,糟糕,negative,-1.75,2.61,2805,5.523809524,1
34,负性一致,1.0,woman_sub32,sadness,negative,急躁,negative,-1.46,3.04,54,6.545454545,2
35,负性一致,1.3,man_sub4,anger,negative,悲哀,negative,-1.92,2.0,278,6.0,1
36,负性一致,1.9,woman_sub49,anger,negative,狡猾,negative,-1.62,2.33,334,6.0,1
