Word_ID,Word,Valence_Mean,Valence_SD,Valence_N,Arousal_Mean,Arousal_SD,Arousal_N,Men_Valence_Mean,Men_Valence_SD,Men_Valence_N,Women_Valence_Mean,Women_Valence_SD,Women_Valence_N,Men_Arousal_Mean,Men_Arousal_SD,Men_Arousal_N,Women_Arousal_Mean,Women_Arousal_SD,Women_Arousal_N,NOM,subTF,NOS,AOA,Compositionality,Concreteness,EER,Familiarity,Imageability,SER,sF,sNOM,ST,RT (ms),log_subTF,Exclusion_Reason,Candidate_Status
13,爱好,1.24,0.93,25,2.35,1.13,26,1.2,0.77,15,1.3,1.16,10,2.42,1.16,12,2.29,1.14,14,3,376,16,1.461538462,4.071428571,4.307692308,4.5625,6.363636364,3.916666667,4.176470588,5.666666667,1.666666667,6.0,552.4518519,2.576341350205793,外部常模义项数>2,excluded
14,爱护,2.11,0.63,28,2.44,1.08,25,1.92,0.67,12,2.25,0.58,16,3.0,1.1,11,2.0,0.88,14,1,77,17,1.8,4.0,5.142857143,3.9375,6.136363636,5.125,4.5625,4.8,1.4,5.625,596.7655172,1.8920946026904804,,positive_pool
16,爱情,1.38,1.06,26,3.24,0.83,29,1.67,1.12,9,1.24,1.03,17,3.42,0.67,12,3.12,0.93,17,1,964,21,2.333333333,5.111111111,4.692307692,5.533333333,6.818181818,3.555555556,4.0625,5.071428571,1.416666667,6.454545455,559.3892857,2.9845273133437926,,excluded
22,安定,1.8,0.82,25,2.27,1.28,22,1.8,0.79,10,1.8,0.86,15,2.54,1.13,13,1.89,1.45,9,2,218,14,2.307692308,5.833333333,5.714285714,4.071428571,4.590909091,4.083333333,4.0,4.0,1.5,6.0,593.462963,2.3404441148401185,,excluded
26,安静,1.09,0.93,34,1.48,1.38,23,1.15,0.99,13,1.05,0.92,21,1.67,1.54,15,1.13,0.99,8,2,1753,20,2.125,5.357142857,4.0,4.714285714,6.363636364,5.428571429,4.411764706,5.384615385,1.461538462,5.333333333,537.962069,3.244029589030022,,excluded
29,安排,0.52,0.77,25,1.69,1.05,26,0.4,0.51,15,0.7,1.06,10,2.0,1.2,8,1.56,0.98,18,2,2247,17,1.875,3.272727273,4.375,3.235294118,6.0,6.333333333,4.117647059,5.066666667,1.466666667,5.25,550.5407407,3.3517963068970236,,excluded
30,安全,2.0,0.94,26,2.73,1.12,26,2.29,0.76,7,1.89,0.99,19,2.62,1.04,13,2.85,1.21,13,1,3339,12,1.625,3.636363636,4.733333333,4.176470588,6.136363636,4.0,5.235294118,5.533333333,1.333333333,5.375,514.4933333,3.5237464668115646,明显多义或语境依赖,excluded
35,安慰,1.15,0.77,27,2.23,0.99,26,0.91,0.83,11,1.31,0.7,16,2.13,1.02,16,2.4,0.97,10,2,616,21,2.153846154,4.083333333,5.357142857,4.571428571,6.181818182,5.25,4.875,4.666666667,1.428571429,5.692307692,569.1111111,2.7902851640332416,,excluded
38,安心,1.5,0.51,24,1.58,0.93,24,1.25,0.46,8,1.63,0.5,16,1.36,0.74,14,1.9,1.1,10,1,290,10,2.076923077,4.666666667,5.0,4.285714286,6.095238095,4.25,4.875,4.833333333,1.5,5.615384615,569.5448276,2.4638929889859074,,excluded
41,安置,0.54,0.81,26,1.88,0.86,26,0.62,0.77,13,0.46,0.88,13,1.85,1.07,13,1.92,0.64,13,1,205,19,3.181818182,4.384615385,4.818181818,2.153846154,6.727272727,4.4,2.647058824,3.066666667,1.692307692,4.384615385,610.964,2.3138672203691533,,excluded
42,安装,0.52,0.96,25,1.72,1.06,25,0.88,1.02,16,-0.11,0.33,9,2.13,0.35,8,1.53,1.23,17,1,271,18,3.272727273,4.615384615,4.066666667,3.5,4.631578947,5.0,3.6875,3.214285714,1.533333333,5.733333333,595.7925926,2.4345689040341987,,excluded
54,案件,-0.54,1.02,24,2.85,0.88,20,-1.0,1.0,13,0.0,0.77,11,2.8,0.92,10,2.9,0.88,10,1,784,16,2.357142857,4.5625,4.8,3.857142857,6.136363636,3.75,4.470588235,3.428571429,1.571428571,5.1875,606.3961538,2.8948696567452528,,excluded
57,暗淡,-1.19,0.8,26,1.52,1.08,23,-1.0,0.82,13,-1.38,0.77,13,2.0,1.15,7,1.31,1.01,16,2,34,24,3.214285714,4.923076923,3.214285714,2.4,4.363636364,4.8,4.8125,3.5625,1.333333333,5.3125,656.4821429,1.5440680443502757,,excluded
59,暗示,-0.04,0.79,25,2.32,1.11,25,0.09,0.3,11,-0.14,1.03,14,2.09,1.14,11,2.5,1.09,14,1,626,18,2.785714286,4.384615385,3.428571429,2.666666667,6.545454545,3.333333333,3.5,3.5,1.666666667,5.125,547.4166667,2.7972675408307164,,excluded
93,把握,1.23,0.91,26,1.69,0.97,26,1.0,0.91,13,1.46,0.88,13,1.31,0.95,13,2.08,0.86,13,3,439,19,2.857142857,3.642857143,4.0625,3.6,6.409090909,4.0,2.764705882,3.285714286,1.6875,5.769230769,642.1321429,2.6434526764861874,外部常模义项数>2,excluded
98,霸权,-1.76,0.97,25,2.92,1.16,26,-1.87,0.92,15,-1.6,1.07,10,3.23,0.93,13,2.62,1.33,13,1,7,27,3.416666667,4.066666667,4.714285714,4.333333333,4.181818182,5.0,3.529411765,2.6875,1.2,5.0,693.5576923,0.9030899869919435,明显多义或语境依赖,excluded
115,白天,0.58,0.93,24,1.56,1.34,27,0.5,0.76,8,0.63,1.02,16,1.56,1.67,9,1.56,1.2,18,1,469,9,1.230769231,4.384615385,5.285714286,3.933333333,6.409090909,5.384615385,3.153846154,4.769230769,1.466666667,5.857142857,612.6461538,2.6720978579357175,,excluded
123,百货,0.24,0.6,25,1.77,1.24,26,0.2,0.63,10,0.27,0.59,15,1.36,1.21,11,2.07,1.22,15,1,48,14,2.6,3.666666667,5.866666667,3.375,5.363636364,3.5,3.8125,3.6875,1.666666667,6.0,660.4692308,1.6901960800285136,,excluded
130,摆脱,0.04,1.26,23,2.68,1.05,31,0.64,1.36,11,-0.5,0.9,12,2.78,0.97,9,2.64,1.09,22,1,876,24,2.583333333,4.0,3.461538462,2.733333333,5.318181818,6.222222222,2.875,3.642857143,1.583333333,6.454545455,605.3766667,2.9429995933660407,,excluded
141,班长,0.65,0.89,26,2.0,0.87,17,0.56,0.89,16,0.8,0.92,10,1.9,0.99,10,2.14,0.69,7,1,53,14,1.583333333,4.866666667,6.5625,4.583333333,5.909090909,4.933333333,3.588235294,4.5,1.416666667,5.8125,551.525,1.7323937598229686,,excluded
163,办法,0.96,0.9,27,1.86,0.99,22,0.79,0.8,14,1.15,0.99,13,2.4,0.55,5,1.71,1.05,17,1,3701,12,2.2,4.5,4.133333333,3.357142857,6.095238095,5.583333333,2.647058824,4.857142857,1.5,6.0,567.4615385,3.5684364144168854,,excluded
164,办公,0.52,0.92,25,1.96,1.07,23,0.6,0.97,10,0.47,0.92,15,2.31,1.18,13,1.5,0.71,10,1,181,8,2.142857143,3.0625,5.933333333,2.571428571,5.909090909,6.428571429,4.058823529,3.928571429,1.785714286,5.8125,624.8153846,2.2600713879850747,,excluded
166,办事,0.44,0.87,25,2.26,1.06,27,0.38,0.96,13,0.5,0.8,12,2.29,0.91,14,2.23,1.24,13,1,322,12,3.272727273,2.9,3.666666667,3.714285714,5.19047619,4.5,3.066666667,3.785714286,2.0,5.4,572.2607143,2.509202522331103,,excluded
177,半夜,-0.35,0.49,23,1.84,1.11,25,-0.31,0.48,13,-0.4,0.52,10,1.82,0.98,11,1.86,1.23,14,2,447,13,1.857142857,5.2,5.8,4.0,6.238095238,5.230769231,5.333333333,4.928571429,1.615384615,6.076923077,535.56,2.651278013998144,,excluded
190,帮忙,1.68,0.75,25,2.38,1.06,24,1.73,0.65,11,1.64,0.84,14,2.58,0.51,12,2.17,1.4,12,2,3086,15,1.6,2.8,5.083333333,3.583333333,6.272727273,5.9,4.5625,5.428571429,1.307692308,5.538461538,541.9296296,3.4895366294820955,,excluded
193,帮助,1.23,1.14,26,2.43,0.95,23,0.92,1.26,13,1.54,0.97,13,2.29,1.11,7,2.5,0.89,16,1,3991,16,1.4,5.285714286,4.4375,4.4,6.409090909,4.692307692,3.642857143,5.625,1.533333333,5.230769231,541.416,3.6011905326153335,,excluded
196,榜样,2.25,0.61,24,2.54,1.02,24,2.13,0.64,8,2.31,0.6,16,2.71,0.99,14,2.3,1.06,10,1,241,24,2.230769231,4.416666667,4.909090909,3.769230769,4.315789474,3.636363636,3.117647059,3.615384615,1.307692308,5.636363636,568.9740741,2.383815365980431,明显多义或语境依赖,excluded
198,傍晚,-0.04,0.61,25,0.92,0.8,26,-0.08,0.29,12,0.0,0.82,13,1.0,0.58,7,0.89,0.88,19,1,78,23,1.833333333,4.25,6.230769231,4.5,5.263157895,5.285714286,3.823529412,4.266666667,1.461538462,6.266666667,594.9923077,1.8976270912904414,,excluded
205,包裹,0.15,0.67,26,2.15,1.29,26,0.27,0.46,15,0.0,0.89,11,1.92,1.08,12,2.36,1.45,14,2,357,19,2.571428571,4.384615385,5.866666667,3.857142857,6.142857143,5.916666667,3.666666667,4.642857143,1.846153846,4.0625,608.5958333,2.5538830266438746,,excluded
206,包含,0.47,0.68,30,1.53,1.12,17,0.4,0.84,10,0.5,0.61,20,1.14,0.69,7,1.8,1.32,10,1,229,12,2.928571429,3.6,3.733333333,3.2,6.363636364,5.142857143,2.125,3.666666667,1.714285714,5.375,596.4821429,2.361727836017593,,excluded
207,包括,0.15,0.49,20,1.31,1.05,26,0.14,0.38,7,0.15,0.55,13,1.13,0.99,8,1.39,1.09,18,1,1695,14,2.4,5.133333333,4.125,3.375,6.095238095,4.0,3.266666667,5.8,1.333333333,5.8,585.3928571,3.229425847920695,,excluded
209,包围,-0.31,0.88,26,2.39,1.16,23,-0.23,0.83,13,-0.38,0.96,13,2.0,1.63,7,2.56,0.89,16,2,447,12,2.307692308,4.0,4.454545455,2.692307692,5.590909091,5.272727273,3.647058824,3.384615385,1.307692308,4.909090909,549.8555556,2.651278013998144,,excluded
216,宝贝,1.71,1.0,24,3.04,0.76,27,1.82,0.98,11,1.62,1.04,13,2.71,0.76,7,3.15,0.75,20,4,3420,12,1.466666667,5.266666667,5.6,5.0,5.857142857,3.428571429,4.375,4.1875,1.733333333,6.117647059,557.404,3.5341530741850624,外部常模义项数>2,excluded
225,保持,0.63,0.97,24,1.68,1.11,25,0.11,0.6,9,0.93,1.03,15,1.73,1.16,15,1.6,1.07,10,1,2808,18,1.615384615,5.142857143,2.076923077,3.0625,6.238095238,5.25,3.117647059,4.466666667,1.384615385,4.866666667,577.6259259,3.448551739201578,,excluded
