filepath,category,isi_dur,valence,arousal,dominance
Session_02/images/positive/1177.jpg,Positive,2.5,2.46,5.48,3.15
Session_02/images/negative/_3488.jpg,Negative,3.5,7.85,6.37,8.13
Session_02/images/positive/1056.jpg,Positive,3,6.78,5.13,5.96
Session_02/images/positive/1136.jpg,Positive,3.5,6.72,4.78,6.96
Session_02/images/neutral/2009.jpg,Neutral,2,6.67,4.78,6.54
Session_02/images/negative/_3375.jpg,Negative,3,5.93,4.17,5.09
Session_02/images/neutral/2260.jpg,Neutral,2,3.46,5.13,4.59
Session_02/images/neutral/2111.jpg,Neutral,2.5,6.24,4.41,6.98
Session_02/images/negative/_3498.jpg,Negative,2,4.39,4.87,4.87
Session_02/images/neutral/2100.jpg,Neutral,3,7.04,4.87,6.87
Session_02/images/positive/1149.jpg,Positive,3,2.67,5.85,3.04
Session_02/images/negative/_3539.jpg,Negative,2,2.28,6.67,2.07
Session_02/images/negative/_3445.jpg,Negative,3.5,2.39,4.85,3.89
Session_02/images/positive/1011.jpg,Positive,2.5,7.74,5.52,7.63
Session_02/images/neutral/2231.jpg,Neutral,3.5,3.17,4.48,4.78
Session_02/images/negative/_3505.jpg,Negative,2.5,4.09,4.04,4.17
Session_02/images/negative/_3568.jpg,Negative,2,2.89,4.15,3.83
Session_02/images/positive/1166.jpg,Positive,3.5,2.59,5.3,3.3
Session_02/images/negative/_3519.jpg,Negative,3,4.17,5.24,3.3
Session_02/images/positive/1045.jpg,Positive,2,7.67,6.39,6.37
Session_02/images/positive/1243.jpg,Positive,3.5,2.07,6.15,3.2
Session_02/images/positive/1100.jpg,Positive,3,7.04,4.87,6.87
Session_02/images/neutral/2106.jpg,Neutral,2.5,6.61,4.17,6.48
Session_02/images/negative/_3341.jpg,Negative,3.5,6.22,3.72,6.91
Session_02/images/negative/_3325.jpg,Negative,2,6.33,4.41,5.96
Session_02/images/neutral/2166.jpg,Neutral,3,2.59,5.3,3.3
Session_02/images/positive/1089.jpg,Positive,3,5.15,5.7,5.41
Session_02/images/neutral/2177.jpg,Neutral,2.5,2.46,5.48,3.15
Session_02/images/negative/_3367.jpg,Negative,3.5,5.17,3.17,6.89
Session_02/images/negative/_3294.jpg,Negative,3,5.91,6.54,4.48
Session_02/images/positive/1067.jpg,Positive,2.5,6.48,5.17,7.61
Session_02/images/positive/1199.jpg,Positive,2.5,2.26,4.37,3.13
Session_02/images/positive/1263.jpg,Positive,3,3.57,5.54,4.26
Session_02/images/negative/_3565.jpg,Negative,3,3.52,6.35,3.54
Session_02/images/negative/_3301.jpg,Negative,2,5.96,4.22,6.59
Session_02/images/neutral/2232.jpg,Neutral,2.5,1.72,6.72,2.24
Session_02/images/positive/1188.jpg,Positive,3.5,2.24,5.59,2.76
Session_02/images/negative/_3385.jpg,Negative,2.5,6.5,4.02,7.46
Session_02/images/negative/_3529.jpg,Negative,3,2.5,5.7,2.8
Session_02/images/negative/_3361.jpg,Negative,3,5.17,3.5,5.59
Session_02/images/negative/_3517.jpg,Negative,2.5,4.48,4.5,6.0
Session_02/images/negative/_3469.jpg,Negative,3.5,5.22,3.78,6.63
Session_02/images/neutral/2043.jpg,Neutral,3.5,7.13,6.72,5.78
Session_02/images/negative/_3436.jpg,Negative,3.5,5.5,3.59,5.65
Session_02/images/positive/1221.jpg,Positive,3.5,2.89,4.13,3.83
Session_02/images/neutral/2067.jpg,Neutral,3.5,6.48,5.17,7.61
Session_02/images/positive/1078.jpg,Positive,2.5,7.67,5.87,8.26
Session_02/images/positive/1051.jpg,Positive,2,5.37,4.48,5.43
Session_02/images/neutral/2141.jpg,Neutral,3,5.65,4.07,5.59
Session_02/images/positive/1286.jpg,Positive,2,6.65,4.98,5.83
Session_02/images/neutral/2199.jpg,Neutral,2.5,2.26,4.37,3.13
Session_02/images/negative/_3400.jpg,Negative,2,6.24,4.22,5.72
Session_02/images/neutral/2023.jpg,Neutral,3,6.61,4.8,6.22
Session_02/images/neutral/2155.jpg,Neutral,2,3.65,5.28,4.46
Session_02/images/neutral/2045.jpg,Neutral,3.5,7.67,6.39,6.37
