pic,namevalence,std-varousal,std-adominance,std-d
1,polarbear,1.bmp,6.74,1.795.22,2.255.20,2.63
2,aviation,2.bmp,6.59,1.776.41,1.665.11,2.30
3,skate,3.bmp,6.96,1.555.43,2.056.00,1.98
4,panda1,4.bmp,7.39,1.535.28,2.226.17,2.28
5,reversal,5.bmp,6.11,1.956.43,1.925.39,2.38
6,kiss1,6.bmp,6.93,1.886.96,1.636.30,2.24
7,cat1,7.bmp,7.78,1.415.35,2.547.85,1.47
8,cheer,8.bmp,6.70,1.555.46,2.125.91,2.25
9,gift,9.bmp,6.67,1.964.78,2.246.54,1.95
10,cat2,10.bmp,7.57,1.505.96,2.017.83,1.05
11,cat3,11.bmp,7.74,1.415.52,2.227.63,1.49
12,cat4,12.bmp,7.78,1.635.37,2.337.78,1.52
13,catandrabbit,13.bmp,7.76,1.625.33,2.307.85,1.41
14,chicken,14.bmp,7.61,1.395.80,2.457.65,1.51
15,star,15.bmp,7.57,1.396.72,2.116.70,2.08
16,dog1,16.bmp,7.33,1.625.93,2.047.67,1.69
17,nocturne1,17.bmp,6.74,1.714.20,2.136.13,2.01
18,dog2,18.bmp,7.63,2.055.61,2.557.96,1.08
19,theaged,19.bmp,5.61,1.874.61,1.935.67,2.19
20,cheers1,20.bmp,7.48,1.476.07,1.866.65,1.91
21,endpoint,21.bmp,6.33,1.845.96,2.145.89,2.29
22,flower1,22.bmp,7.41,1.314.78,2.487.52,1.81
23,field,23.bmp,6.61,1.884.80,2.396.22,1.84
24,bugle,24.bmp,6.59,1.675.61,1.845.35,1.88
25,cheers2,25.bmp,6.85,1.615.52,1.926.59,1.89
26,smile,26.bmp,5.61,1.954.61,2.055.87,1.68
27,newly-married,27.bmp,7.00,1.515.20,2.126.35,1.84
28,kiss2,28.bmp,7.43,1.616.37,2.066.70,2.05
29,island1,29.bmp,7.63,1.535.26,2.966.83,2.18
30,island2,30.bmp,6.98,1.714.43,2.635.72,2.32
31,girl23,31.bmp,4.50,2.134.50,1.805.65,2.16
32,flower2,32.bmp,7.11,1.575.24,2.667.43,1.44
33,flower3,33.bmp,5.80,2.305.65,1.875.98,2.22
34,bird,34.bmp,6.63,1.515.28,2.146.52,1.96
